Sample Name	Sample Type	Animal ID	Pen Location	Age	Group	LBP1	Mucosal Gene Ct	Fecal Gene Ct
3754-KK-0001	LI Lumen	1077	315	19.7	Old	5.96	0.043415412	22.96288641
3754-KK-0010	LI Mucosa	1077	315	19.7	Old	5.96	0.043415412	22.96288641
3754-KK-0019	Feces	1077	315	19.7	Old	5.96	0.043415412	22.96288641
3754-KK-0028	LI Lumen	1079	315	20.6	Old	0.38	0.557572865	0.517387971
3754-KK-0036	LI Mucosa	1079	315	20.6	Old	0.38	0.557572865	0.517387971
3754-KK-0044	Feces	1079	315	20.6	Old	0.38	0.557572865	0.517387971
3754-KK-0002	LI Lumen	1087	315	8.5	Young	0.87	0.041941997	9.596752116
3754-KK-0011	LI Mucosa	1087	315	8.5	Young	0.87	0.041941997	9.596752116
3754-KK-0020	Feces	1087	315	8.5	Young	0.87	0.041941997	9.596752116
3754-KK-0029	LI Lumen	1092	315	21.6	Old	10.08	0.040927813	6.75111772
3754-KK-0037	LI Mucosa	1092	315	21.6	Old	10.08	0.040927813	6.75111772
3754-KK-0045	Feces	1092	315	21.6	Old	10.08	0.040927813	6.75111772
3754-KK-0003	LI Lumen	1127	312	23.7	Old	0.48	0.30743702	5.076582326
3754-KK-0012	LI Mucosa	1127	312	23.7	Old	0.48	0.30743702	5.076582326
3754-KK-0021	Feces	1127	312	23.7	Old	0.48	0.30743702	5.076582326
3754-KK-0030	LI Lumen	1150	313	8.7	Young	2.27	0.026829056	4.591187774
3754-KK-0038	LI Mucosa	1150	313	8.7	Young	2.27	0.026829056	4.591187774
3754-KK-0046	Feces	1150	313	8.7	Young	2.27	0.026829056	4.591187774
3754-KK-0004	LI Lumen	1164	A10	12.5	Young	0.34	0.112211221	5.096673965
3754-KK-0013	LI Mucosa	1164	A10	12.5	Young	0.34	0.112211221	5.096673965
3754-KK-0022	Feces	1164	A10	12.5	Young	0.34	0.112211221	5.096673965
3754-KK-0031	LI Lumen	1223	314	23.6	Old	1.4	1.794923232	0.459922104
3754-KK-0039	LI Mucosa	1223	314	23.6	Old	1.4	1.794923232	0.459922104
3754-KK-0047	Feces	1223	314	23.6	Old	1.4	1.794923232	0.459922104
3754-KK-0005	Feces	1227	A10	10.7	Young	0.3	0.12854805	0.207553859
3754-KK-0014	LI Lumen	1266	318	10.6	Young	0.12	0.129968651	0.739563348
3754-KK-0023	LI Mucosa	1266	318	10.6	Young	0.12	0.129968651	0.739563348
3754-KK-0032	Feces	1266	318	10.6	Young	0.12	0.129968651	0.739563348
3754-KK-0006	Feces	1316	325	22.9	Old	0.39	4.496994525	2.134962056
3754-KK-0040	LI Lumen	1316	325	22.9	Old	0.39	4.496994525	2.134962056
3754-KK-0048	LI Mucosa	1316	325	22.9	Old	0.39	4.496994525	2.134962056
3754-KK-0015	Feces	1342	321	23.6	Old	0.45	0.332694325	6.432914101
3754-KK-0024	LI Mucosa	1342	321	23.6	Old	0.45	0.332694325	6.432914101
3754-KK-0033	Feces	1342	321	23.6	Old	0.45	0.332694325	6.432914101
3754-KK-0041	LI Lumen	1349	A10	21.6	Old	0.82	0.512153494	NA
3754-KK-0049	LI Mucosa	1349	A10	21.6	Old	0.82	0.512153494	NA
3754-KK-0007	LI Lumen	1365	322	12.4	Young	0.16	1.02353161	0.496624852
3754-KK-0016	LI Mucosa	1365	322	12.4	Young	0.16	1.02353161	0.496624852
3754-KK-0025	Feces	1365	322	12.4	Young	0.16	1.02353161	0.496624852
3754-KK-0034	LI Lumen	1377	322	9.8	Young	0.29	0.023217182	4.577208462
3754-KK-0042	Feces	1377	322	9.8	Young	0.29	0.023217182	4.577208462
3754-KK-0008	LI Mucosa	1406	323	22	Old	5.36	0.048087526	2.715921424
3754-KK-0017	Feces	1406	323	22	Old	5.36	0.048087526	2.715921424
3754-KK-0050	LI Lumen	1406	323	22	Old	5.36	0.048087526	2.715921424
3754-KK-0026	LI Lumen	1415	324	11.5	Young	0.64	0.092125917	0.287902574
3754-KK-0035	LI Mucosa	1415	324	11.5	Young	0.64	0.092125917	0.287902574
3754-KK-0043	LI Mucosa	1452	A10	13.7	Young	0.22	0.575159561	11.58513792
3754-KK-0051	Feces	1452	A10	13.7	Young	0.22	0.575159561	11.58513792
3754-KK-0009	LI Lumen	1474	328	23.7	Old	0.45	1.061888202	0.094046435
3754-KK-0018	LI Mucosa	1474	328	23.7	Old	0.45	1.061888202	0.094046435
3754-KK-0027	Feces	1474	328	23.7	Old	0.45	1.061888202	0.094046435
