ID	Sample	Project	Run_Seq	Pool
10058_4483_0297_P2	10058	4483	0297	P2
10363_4483_0330_P2	10363	4483	0330	P2
10688_4483_0383_P2	10688	4483	0383	P2
10862_4483_0338_P2	10862	4483	0338	P2
10898_4483_0314_P2	10898	4483	0314	P2
10991_4483_0342_P2	10991	4483	0342	P2
11012_4483_0355_P2	11012	4483	0355	P2
11226_4483_0359_P2	11226	4483	0359	P2
11331_4066_0361_P2	11331	4066	0361	P2
20004_4216_0139	20004	4216	0139	NA
20005_4216_0100	20005	4216	0100	NA
20005_4483_0238_P1	20005	4483	0238	P1
20008_4216_0052	20008	4216	0052	NA
20008_4483_0366_P2	20008	4483	0366	P2
20011_4066_0216_P1	20011	4066	0216	P1
20011_4216_0078	20011	4216	0078	NA
20012_4216_0109	20012	4216	0109	NA
20017_4066_0276_P1	20017	4066	0276	P1
20017_4216_0087	20017	4216	0087	NA
20020_4216_0086	20020	4216	0086	NA
20020_4483_0227_P1	20020	4483	0227	P1
20024_4216_0146	20024	4216	0146	NA
20024_4483_0219_P1	20024	4483	0219	P1
20027_4066_0223_P1	20027	4066	0223	P1
20027_4216_0085	20027	4216	0085	NA
20034_4066_0345_P2	20034	4066	0345	P2
20034_4216_0084	20034	4216	0084	NA
20038_4216_0049	20038	4216	0049	NA
20041_4216_0083	20041	4216	0083	NA
20041_4483_0377_P2	20041	4483	0377	P2
20048_4216_0056	20048	4216	0056	NA
20058_4216_0082	20058	4216	0082	NA
20058_4483_0333_P2	20058	4483	0333	P2
20060_4216_0108	20060	4216	0108	NA
20065_4066_0245_P1	20065	4066	0245	P1
20065_4216_0157	20065	4216	0157	NA
20065_4483_0281_P1	20065	4483	0281	P1
20075_4216_0163	20075	4216	0163	NA
20075_4483_0201_P1	20075	4483	0201	P1
20078_4216_0164	20078	4216	0164	NA
20078_4483_0367_P2	20078	4483	0367	P2
20081_4216_0165	20081	4216	0165	NA
20081_4483_0223_P1	20081	4483	0223	P1
20086_4066_0238_P1	20086	4066	0238	P1
20086_4216_0042	20086	4216	0042	NA
20087_4216_0114	20087	4216	0114	NA
20089_4216_0035	20089	4216	0035	NA
20090_4066_0260_P1	20090	4066	0260	P1
20090_4216_0166	20090	4216	0166	NA
20101_4216_0167	20101	4216	0167	NA
20101_4483_0214_P1	20101	4483	0214	P1
