Run_s	AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	SRA_Sample_s	Sample_Name_s	collection_date_s	lat_lon_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	geo_loc_name_s	isolation_source_s	Season	Location
SRR2919200	456	SAMN04270982	SRX1434874	4	2	SRS1164399	SI.1	3/14/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Influent
SRR2919201	463	SAMN04270985	SRX1434876	4	2	SRS1165856	SI.2	4/8/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Influent
SRR2919202	452	SAMN04270986	SRX1434877	3	1	SRS1165857	SI.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Influent
SRR2919203	480	SAMN04270987	SRX1434878	5	3	SRS1165858	AS.1	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Activated Sludge
SRR2919204	473	SAMN04270989	SRX1434879	4	2	SRS1165859	AS.2	4/8/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Activated Sludge
SRR2919205	470	SAMN04270990	SRX1434880	5	2	SRS1165860	AS.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Activated Sludge
SRR2919209	454	SAMN04270991	SRX1434881	4	2	SRS1165861	FE.1	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Effluent
SRR2919220	453	SAMN04271036	SRX1434883	3	1	SRS1165862	FE.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Effluent
SRR2919223	466	SAMN04271034	SRX1434882	4	2	SRS1165863	FE.2	4/8/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Effluent
SRR2919224	478	SAMN04271037	SRX1434884	6	3	SRS1165864	U20	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Upstream of Effluent
SRR2919226	473	SAMN04271038	SRX1434885	6	3	SRS1165865	U20.2	4/8/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Upstream of Effluent
SRR2919231	476	SAMN04271039	SRX1434886	6	3	SRS1165866	U20.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Upstream of Effluent
SRR2919232	467	SAMN04271041	SRX1434887	4	2	SRS1165867	EO.1	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919233	467	SAMN04271042	SRX1434888	4	2	SRS1165868	EO.2	4/8/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919237	467	SAMN04271043	SRX1434889	5	3	SRS1165869	EO.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919238	468	SAMN04271044	SRX1434890	4	2	SRS1165870	EO50.1	3/14/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919245	475	SAMN04271102	SRX1434891	5	3	SRS1165871	EO50.2	4/8/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919247	472	SAMN04271103	SRX1434892	6	3	SRS1165872	EO50.3	4/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919254	471	SAMN04271105	SRX1434893	5	2	SRS1165873	EO250.1	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919255	471	SAMN04271106	SRX1434894	5	3	SRS1165874	EO250.2	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919256	473	SAMN04271113	SRX1434895	5	3	SRS1165875	EO250.3	4/14/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Ignore Down river too short
SRR2919257	472	SAMN04271115	SRX1434896	5	3	SRS1165876	E0450.1	3/14/12	31.53 N 120.32 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Downstream
SRR2919258	474	SAMN04271117	SRX1434897	5	2	SRS1165877	EO450.2	4/8/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Downstream
SRR2919259	474	SAMN04271118	SRX1434898	6	3	SRS1165878	EO450.3	4/14/12	31.53 N 120.31999999999994 E	AMPLICON	PRJNA302250	Metagenome or environmental	NANJING UNIVESITY	public	0	454 GS FLX Titanium	SINGLE	PCR	GENOMIC	11/17/15	wastewater metagenome	LS454	11/27/15	SRP066236	China:wuxi	water	Spring	Downstream
